final_gene,count,total_patents
GFAP,1,7
GFI1,2,1
GFRAL,9,16
GHR,2,3
GHRL,4,8
GIP,1,12
GIPR,5,16
GJA1,6,49
GLB1,7,35
GLP1R,5,18
GM2A,18,99
GMDS,9,36
GMFB,1,5
GNG2,1,1
GNG5,2,1
GNGT1,2,16
GNGT2,29,340
GNRHR,1,12
GP1BA,2,5
GP6,6,31
GPA33,1,1
GPC1,4,12
GPC2,3,10
GPC3,43,143
GPC4,1,1
GPR108,1,2
GPR183,6,3
GPR20,1,8
GPR87,1,2
GPRC5A,69,351
GPRC5D,11,28
GPRIN3,2,2
GRIN1,1,1
GRIN2A,1,0
GRM2,1,3
GRM5,1,2
GRN,2,0
GSDMD,1,1
GSTM2,1,10
GUCY1A1,2,2
GUCY2C,9,35
GUCY2D,5,15
GYPA,9,30
H2AFZ,1,12
H2BFWT,1,13
H3F3A,2,14
HABP2,1,1
HAMP,4,28
HARS,1,1
HAVCR1,4,12
HAVCR2,48,208
HBB,1,3
HBEGF,5,29
HCRTR1,1,6
HDAC11,1,1
HGF,11,48
HGFAC,1,5
HHEX,3,8
HIF1A,2,5
HIST1H1C,5,9
HIST1H3A,1,4
HIST1H4A,1,12
HJV,1,1
HLA-A,5,20
HLA-B,3,7
HLA-C,2,6
HLA-DQA1,2,9
HLA-DRB1,2,4
HLA-G,6,27
HMGN1,5,22
HPN,2,5
HPSE,1,1
HS6ST2,1,3
HSP90B1,9,35
HSPA1A,2,3
HSPA5,6,32
HSPA9,1,4
HSPB1,1,3
HSPD1,1,0
HSPE1,1,4
HSPG2,1,2
HTR1A,3,13
HTR3A,1,1
HTT,2,10
IAPP,2,21
ICAM1,16,45
ICAM3,1,1
ICAM4,1,1
ICOS,7,114
IDE,1,2
IDO1,1,2
IFITM5,1,2
IFN1@,10,57
IFNA1,1,14
IFNAR1,7,50
IFNAR2,1,1
IFNB1,2,8
IFNG,6,38
IFNGR2,1,4
IGDCC4,5,11
IGF1,7,47
IGF1R,35,317
IGF2,6,48
IGF2R,1,1
IGFBP3,1,4
IGFBP7,3,7
IGHD,1,2
IGHD1-14,1,4
IGHG1,19,103
IGHM,2,11
IGHV1-69,1,8
IGLL1,1,2
IGSF1,1,1
IGSF11,2,8
IGSF8,1,3
IKBKB,1,2
IL10,3,25
IL10RA,1,3
IL11,3,18
IL11RA,3,21
IL12A,9,93
IL12B,1,0
IL12RB1,3,12
IL13,31,192
IL13RA1,3,32
IL13RA2,12,23
IL15,5,30
IL15RA,1,2
IL16,1,0
IL17A,66,374
IL17B,1,2
IL17C,2,16
IL17F,11,103
IL17RA,4,41
IL17RB,2,10
IL17RE,1,1
IL18,10,57
IL18BP,1,12
IL18R1,3,14
IL18RAP,2,4
IL19,2,8
IL1A,4,71
IL1B,26,252
IL1R1,6,41
IL1R2,3,23
IL1RAP,18,75
IL1RL1,11,39
IL1RL2,7,51
IL1RN,1,1
IL2,11,37
IL20,5,79
IL20RA,2,10
IL20RB,2,3
IL21,6,48
IL21R,4,19
IL22,7,24
IL22RA2,1,1
IL23A,18,227
IL23R,5,20
IL24,1,1
IL25,5,20
IL26,1,1
IL27,5,18
IL2RA,25,132
IL2RB,8,23
IL2RG,1,2
IL3,1,10
IL31,2,62
IL31RA,3,22
IL32,1,5
IL33,13,72
IL34,4,10
IL36A,2,3
IL37,1,2
IL3RA,37,166
IL4,8,55
IL4R,27,189
IL5,12,62
IL5RA,6,39
IL6,31,305
IL6R,26,309
IL7R,9,52
IL9,2,10
INSR,7,49
IRAK4,1,2
ITGA1,3,30
ITGA10,1,12
ITGA11,6,12
ITGA2,1,1
ITGA2B,5,15
ITGA3,2,4
ITGA4,5,76
ITGA5,9,45
ITGA6,2,4
ITGA9,17,72
ITGAL,2,0
ITGAM,5,14
ITGAV,19,150
ITGB1,3,10
ITGB2,3,11
ITGB3,6,33
ITIH1,1,1
ITK,1,2
ITLN1,2,7
ITM2A,1,5
ITM2B,1,2
JAM3,1,9
JAML,1,6
JMJD6,1,3
KAAG1,2,27
KATNB1,2,5
KCNA3,3,4
KCNH1,1,3
KCNH2,1,4
KCNK9,1,1
KDR,41,135
KIAA1549,1,6
KIR2DL1,1,5
KIR2DL4,2,51
KIT,15,110
KITLG,3,21
KL,1,8
KLB,1,13
KLHL12,1,1
KLHL17,1,5
KLK1,1,2
KLK2,1,10
KLK3,1,8
KLK5,2,10
KLK7,1,3
KLRB1,3,7
KLRC1,12,70
KLRC2,2,6
KLRC3,4,37
KLRC4,11,50
KLRK1,6,7
KRAS,6,12
KREMEN2,1,1
KRT20,122,586
KRT8,2,9
L1CAM,10,30
LAG3,57,254
LAIR1,4,7
LAMA3,1,1
LAMA4,1,9
LAMB1,1,3
LAMC2,3,4
LAMC3,1,2
LAMP1,2,5
LAMTOR4,5,20
LAP3,1,14
LCK,1,1
LCN2,2,4
LDLR,8,30
LEP,1,1
LEPR,3,21
LGALS1,4,14
LGALS3,5,19
LGALS3BP,1,0
LGALS7,2,4
LGALS9,5,28
LGR4,3,7
LGR5,4,43
LGR6,1,0
LHCGR,1,3
LIF,4,16
LIFR,1,1
LILRB1,9,18
LILRB2,12,37
LILRB3,6,19
LILRB4,8,34
LINGO2,1,3
LIPC,1,2
LIPG,2,16
LIPH,1,2
LOXL2,3,21
LOXL4,1,1
LPA,3,32
LPAR1,1,1
LPAR2,1,1
LRIG1,3,11
LRP5,3,11
LRP6,9,30
LRP8,1,1
LRRC25,1,2
LSR,2,5
LTA,3,9
LTB4R,2,42
LTB4R2,1,2
LTBR,3,18
LY6E,3,16
LY6G6D,1,2
LY6H,1,3
LY9,1,3
LY96,1,1
LYN,1,0
LYNX1,2,6
LYPD1,1,0
LYST,4,15
LYZL4,1,3
MADCAM1,2,25
MAF,1,2
MAG,1,9
MAGEA1,1,0
MAGEA3,15,54
MAGEA4,4,9
MAGEA6,1,3
MAP3K14,1,4
MAPK1,1,1
MAPT,47,400
MARCO,1,3
MASP1,2,10
MASP2,7,41
MATN2,2,12
MATN3,1,5
MC4R,1,2
MCAM,11,52
MCEMP1,1,3
MCM5,1,2
MCM6,1,1
MCM7,1,1
MDK,2,13
MEF2C,1,1
MEGF8,2,6
MELK,1,3
MFAP4,1,6
